val_loss,epoch,step,train_loss
0.43021294474601746,0,923,
,0,923,0.4500909745693207
0.4297372102737427,1,1847,
,1,1847,0.44584304094314575
0.430324524641037,2,2771,
,2,2771,0.4435151219367981
0.4283449351787567,3,3695,
,3,3695,0.4431525766849518
0.4269505441188812,4,4619,
,4,4619,0.4427175521850586
0.4276304841041565,5,5543,
,5,5543,0.44235849380493164
0.4277125298976898,6,6467,
,6,6467,0.44234681129455566
0.4293341636657715,7,7391,
,7,7391,0.44218069314956665
0.42840084433555603,8,8315,
,8,8315,0.4419267773628235
0.43192237615585327,9,9239,
,9,9239,0.4423618018627167
